feature,importance_mean,importance_std
delta_volume,0.4084512874114667,0.07520868260263872
af2_neighbor_count_12A,0.29244531619505176,0.05535184223749129
af2_neighbor_count_8A,0.24926800966772453,0.0775638919745637
af2_min_neighbor_distance,0.04943607791500633,0.007784616257384328
af2_plddt,0.0490648052508653,0.0024917868019102033
delta_aromaticity,0.033262263060413265,0.007815831391081286
af2_plddt_window_min_5,0.02893179083068883,0.004476866549732506
blosum62,0.02865986898991881,0.006094438701977287
af2_mean_neighbor_distance_8A,0.02377367033080926,0.010331640896552674
grantham,0.016302199601279765,0.005680806531563244
delta_gravy,0.015743942106566645,0.004298263229756456
af2_plddt_window_mean_5,0.015572356477281401,0.0017982292610378464
delta_hydropathy,0.013732196117777252,0.00321664562532986
af2_is_low_confidence,0.0060361265668680605,0.0007587819981734424
is_globular_domain_region,0.004026753685649054,0.0004225411179574729
is_octapeptide_repeat_region,0.003966778395856252,0.0003320519329674266
delta_polarity_flag,0.003741829379570716,0.001078120577693465
delta_pI,0.0031996283906933986,0.0020470457692716537
mut_is_polar,0.0026637349520344912,0.0014659274659072838
delta_aliphatic_index,0.0022386022209045396,0.0005415458125538522
delta_net_charge,0.0018635381428978581,0.001243907760497307
is_gpi_anchor_region,0.0007759825374972884,4.676137656840117e-05
delta_charge,0.0006960752954659255,0.00017898359736961898
delta_octapeptide_repeat_count,7.93943632109273e-05,0.0001336812741917786
delta_n_glyco_motif_count,2.0028668183846856e-06,4.1333169693672285e-06
af2_mapped,-8.881784197001253e-17,4.4408920985006264e-17
conservation_mut_freq,-1.9913952060823804e-05,7.448462988261518e-06
position_observation_count,-5.111303142834034e-05,8.62882326091945e-05
delta_hydrophobic_stretch_count,-0.00044806815638166465,9.398149990161103e-05
conservation_wt_freq,-0.0007220458896119219,0.0003553840540633652
conservation_delta_freq,-0.0007761792881786023,0.00035793928074497646
position_entropy,-0.0008086734644511928,0.0002818378105268612
is_signal_peptide_region,-0.0009743778301189888,0.00038597459185631724
af2_struct_seq_id,-0.001062024321357813,0.0019004829405852186
position_norm,-0.001209070832033432,0.001973940300799494
af2_is_exposed_proxy,-0.0013844742762219142,0.0005037223500969011
af2_is_high_confidence,-0.001597438963021469,0.00018633445007912964
delta_instability_index,-0.0020706662292096613,0.005616241892665571
position,-0.00348671624213861,0.0013377060698696673
wt_is_polar,-0.0065537153335295415,0.012336789104012084
af2_is_buried_proxy,-0.010541614216396733,0.011192474083446657
