feature,importance_mean,importance_std
af2_plddt,0.04210526315789478,0.004449476944620403
delta_volume,0.03383458646616545,0.006267709757634864
af2_mean_neighbor_distance_8A,0.023093447905478025,0.004276268364638965
af2_neighbor_count_12A,0.021697099892588657,0.0069411361638683335
wt_is_polar,0.01804511278195492,0.005056327517052564
blosum62,0.010418904403866835,0.0029630750212961683
delta_aromaticity,0.008592910848549984,0.002449356444896124
af2_min_neighbor_distance,0.005692803437164362,0.00510740856196295
delta_hydropathy,0.004081632653061273,0.0021907710047659643
af2_neighbor_count_8A,0.0036519871106337476,0.0033693635104958346
af2_struct_seq_id,0.0035445757250268774,0.003465578046165776
delta_gravy,0.003222341568206255,0.0017319565517289889
af2_plddt_window_mean_5,0.002363050483351259,0.0053013803133203285
af2_is_exposed_proxy,0.0008592910848550295,0.0017844519576623167
af2_plddt_window_min_5,0.0006444683136412665,0.0036010858462384864
is_octapeptide_repeat_region,0.00010741138560690366,0.0007518796992481353
af2_is_high_confidence,0.0,0.0
delta_n_glyco_motif_count,0.0,0.0
af2_mapped,0.0,0.0
is_gpi_anchor_region,-0.00010741138560685926,0.0005784280136556945
delta_octapeptide_repeat_count,-0.00010741138560685926,0.0005784280136556945
conservation_mut_freq,-0.00010741138560687036,0.00032223415682061104
is_signal_peptide_region,-0.0002148227712137296,0.0008037932087591592
mut_is_polar,-0.00032223415682057776,0.0027194390765138865
delta_aliphatic_index,-0.0003222341568206,0.0025440857749360053
position_entropy,-0.000644468313641211,0.0014569989222610674
af2_is_low_confidence,-0.0007518796992480814,0.0012754395367387446
delta_pI,-0.0007518796992480925,0.0019244331758505792
af2_is_buried_proxy,-0.0010741138560687036,0.00048035831954880925
delta_charge,-0.001181525241675574,0.0011214077882825521
position_norm,-0.0013963480128893258,0.0031517509669433163
conservation_wt_freq,-0.001396348012889337,0.0014450724003301591
is_globular_domain_region,-0.0016111707841030888,0.0015378969992777896
position_observation_count,-0.0017185821697099368,0.0008592910848549823
conservation_delta_freq,-0.0018259935553168293,0.0014450724003301633
delta_net_charge,-0.002577873254564933,0.0016075864175183526
grantham,-0.0030075187969924476,0.0021374595856211136
position,-0.003114930182599307,0.002118483665232676
delta_hydrophobic_stretch_count,-0.004189044038668077,0.0010133169851833088
delta_instability_index,-0.004726100966702451,0.0015341414454442298
delta_polarity_flag,-0.006122448979591832,0.0025440857749359992
