feature,importance_mean,importance_std
grantham,0.1229860365198711,0.010288530644827078
blosum62,0.03589330469029716,0.0048326834896860365
position_entropy,0.01208378088077336,0.002485399816848355
delta_volume,0.009488005728607215,0.003664427048059202
conservation_wt_freq,0.008950948800572844,0.002531710637975457
conservation_delta_freq,0.007518796992481203,0.0022359462937337595
af2_neighbor_count_12A,0.006355173648406727,0.002498260962576571
af2_plddt_window_min_5,0.006355173648406709,0.0027193801523385714
af2_neighbor_count_8A,0.0060866451843895235,0.00197732921897373
af2_plddt_window_mean_5,0.005191550304332243,0.0037165305213080284
is_globular_domain_region,0.004833512352309342,0.0037593984962405983
af2_plddt,0.004654493376297882,0.0030168814082264087
delta_hydropathy,0.00447547440028644,0.002550627792476716
delta_aromaticity,0.003311851056211947,0.0011143841387386924
af2_struct_seq_id,0.0032223415682062218,0.004428684882510916
af2_is_exposed_proxy,0.0031328320802004963,0.0011975553312083358
af2_mean_neighbor_distance_8A,0.0030433225921947618,0.0013750708463781955
wt_is_polar,0.002953813104189027,0.0013953148288685926
position_norm,0.002685284640171833,0.004396000414539447
af2_is_low_confidence,0.0025957751521661168,0.001197555331208338
delta_gravy,0.0024167561761546477,0.0023665062775514232
position,0.0021482277121374813,0.004296455424274971
delta_polarity_flag,0.0019692087361260304,0.0013750708463781919
delta_pI,0.001700680272108836,0.0006875354231891237
mut_is_polar,0.0015216612960973856,0.0014180969851194756
af2_min_neighbor_distance,0.0012531328320802004,0.0010590905447725864
delta_aliphatic_index,0.0011636233440744659,0.0008154702451794183
delta_octapeptide_repeat_count,0.0002685284640171759,0.0004651049429561797
is_octapeptide_repeat_region,0.0002685284640171759,0.0004651049429561797
delta_net_charge,0.00017901897601145986,0.0011462807442593796
is_signal_peptide_region,0.0001790189760114506,0.0004002985996240077
af2_is_high_confidence,8.95094880057438e-05,0.001114384138738691
conservation_mut_freq,0.0,0.0
is_gpi_anchor_region,0.0,0.0
af2_mapped,0.0,0.0
position_observation_count,0.0,0.0
delta_n_glyco_motif_count,0.0,0.0
af2_is_buried_proxy,0.0,0.0
delta_instability_index,-0.00035803795202291044,0.0010126842551901652
delta_charge,-0.0006265664160400771,0.000529545272386269
delta_hydrophobic_stretch_count,-0.0009846043680629784,0.0002968693868918078
