feature,importance_mean,importance_std
grantham,0.5649366242597923,0.017564245973302126
is_globular_domain_region,0.17905503272206016,0.007588275922754217
blosum62,0.11094082066009366,0.006299832247704694
conservation_delta_freq,0.0339395793522164,0.003210123882791788
conservation_wt_freq,0.02758196899880096,0.0019520824457779273
position_entropy,0.024243759332625247,0.0017853329662303704
delta_volume,0.013090681396791315,0.0008218897921311477
af2_is_exposed_proxy,0.0011929472152569138,0.00030227461223915727
af2_neighbor_count_12A,0.0009235078702266031,0.001939727262146853
delta_pI,0.0008236075876579355,0.00019018661241211463
delta_polarity_flag,0.0007005589429819973,9.110748031582281e-05
wt_is_polar,0.0006882662267078121,8.338749162087879e-05
mut_is_polar,0.0001924242784677732,6.241700260117689e-05
delta_charge,0.00015675380603505373,5.990607134943235e-05
delta_net_charge,0.00013840676848922429,5.129834426126378e-05
delta_aromaticity,7.305359826986768e-05,4.058748923574858e-05
is_octapeptide_repeat_region,3.479593590481148e-05,3.031311059836632e-05
conservation_mut_freq,3.1476641666629744e-05,3.742173262684116e-05
is_signal_peptide_region,2.8204375112398743e-05,8.932282923762572e-06
af2_is_high_confidence,7.902860097562062e-06,5.643915476610186e-06
delta_n_glyco_motif_count,6.867954608978192e-06,2.1674279957771356e-06
is_gpi_anchor_region,3.041524885283309e-07,2.679337219261307e-06
af2_is_buried_proxy,-9.25185853854297e-18,3.0684943385792895e-17
af2_mapped,-9.25185853854297e-18,3.0684943385792895e-17
delta_octapeptide_repeat_count,-5.426016313388645e-07,6.276723516897997e-07
position_observation_count,-7.94251658782034e-06,1.3935640898965358e-06
delta_instability_index,-5.409834418606171e-05,0.0003258115650370478
af2_is_low_confidence,-0.0001133912003939604,3.714553118932432e-05
delta_hydrophobic_stretch_count,-0.00032560552187972197,3.6674361528751755e-05
delta_gravy,-0.0004613918144242557,0.0010912554609689073
delta_hydropathy,-0.0006237874173729748,0.00120471696307812
position,-0.0009489880750691478,0.0011765943737439225
position_norm,-0.0011324888892709402,0.0015538783162079685
af2_min_neighbor_distance,-0.0013591442799128401,0.00033462648028337826
af2_mean_neighbor_distance_8A,-0.0015609594376471414,0.00037588445822362495
af2_struct_seq_id,-0.0015629489611925322,0.0011696822867506395
af2_neighbor_count_8A,-0.0021522718428570453,0.002161324608387637
delta_aliphatic_index,-0.0042217896234889585,0.0014799101151790445
af2_plddt_window_min_5,-0.0057451238833268565,0.0018302919321887135
af2_plddt_window_mean_5,-0.0063165804897041085,0.003939293997293859
af2_plddt,-0.00966075926338745,0.004258948246941386
