feature,target,spearman_correlation,directly_used_in_proxy_formula
position_entropy,evolutionary_importance_score,-0.9999954006459028,True
conservation_wt_freq,evolutionary_importance_score,0.999954388698339,True
grantham,chemical_impact_score,0.9184769173340755,True
af2_plddt,structural_sensitivity_score,0.9046345986624404,True
af2_neighbor_count_8A,structural_sensitivity_score,0.881442259310034,True
is_globular_domain_region,structural_sensitivity_score,0.8518142381586226,True
blosum62,chemical_impact_score,-0.8468583672238159,True
grantham,mutation_severity_score,0.6724585865919679,True
blosum62,destabilization_proxy_score,-0.6706976529035944,True
grantham,destabilization_proxy_score,0.6700553784830354,True
blosum62,mutation_severity_score,-0.5987331986694601,True
af2_plddt,mutation_severity_score,0.4916513366546011,True
af2_neighbor_count_8A,mutation_severity_score,0.48786768754758414,True
is_globular_domain_region,mutation_severity_score,0.477967382503114,True
af2_plddt,high_severity_label,0.47360539838333215,True
grantham,destabilizing_label,0.46596855768481393,True
af2_neighbor_count_8A,high_severity_label,0.45991179048655717,True
blosum62,destabilizing_label,-0.457410577104605,True
af2_neighbor_count_8A,destabilization_proxy_score,0.44983015137845894,True
grantham,high_severity_label,0.44716611360818675,True
is_globular_domain_region,high_severity_label,0.4415057472472232,True
af2_plddt,destabilization_proxy_score,0.4313113760489401,True
is_globular_domain_region,destabilization_proxy_score,0.4159096458146745,True
af2_plddt,destabilizing_label,0.383805513714193,True
blosum62,high_severity_label,-0.38145817085540357,True
af2_neighbor_count_8A,destabilizing_label,0.3787358210035849,True
is_globular_domain_region,destabilizing_label,0.37024558734441315,True
af2_is_buried_proxy,structural_sensitivity_score,0.2677127971391446,True
af2_is_buried_proxy,high_severity_label,0.25513719446960154,True
af2_is_buried_proxy,mutation_severity_score,0.24801782489832502,True
af2_is_buried_proxy,destabilizing_label,0.2326705540652389,True
af2_is_buried_proxy,destabilization_proxy_score,0.23197700487946907,True
position_entropy,mutation_severity_score,-0.17489985567694571,True
conservation_wt_freq,mutation_severity_score,0.1745473386832563,True
delta_volume,structural_sensitivity_score,-0.16950097721129295,True
delta_polarity_flag,structural_sensitivity_score,-0.1668698558111876,True
af2_neighbor_count_8A,evolutionary_importance_score,-0.14652470256447428,True
delta_volume,chemical_impact_score,0.1349233810800439,True
delta_polarity_flag,destabilizing_label,-0.13354262966541633,True
delta_polarity_flag,chemical_impact_score,0.11764867958607579,True
delta_volume,high_severity_label,-0.11761475444931487,True
position_entropy,high_severity_label,-0.1170449609149252,True
conservation_wt_freq,high_severity_label,0.1167714711876565,True
delta_charge,structural_sensitivity_score,0.11248485018137505,True
conservation_wt_freq,structural_sensitivity_score,-0.10524757946091402,True
position_entropy,structural_sensitivity_score,0.10478932173778638,True
is_globular_domain_region,chemical_impact_score,-0.09919010561469216,True
af2_plddt,evolutionary_importance_score,-0.09250858887596795,True
delta_hydropathy,evolutionary_importance_score,0.09244500280330749,True
delta_polarity_flag,destabilization_proxy_score,-0.08719040987368921,True
delta_charge,destabilization_proxy_score,0.08563108563230752,True
af2_is_buried_proxy,evolutionary_importance_score,0.08444621849947397,True
is_globular_domain_region,evolutionary_importance_score,-0.08202353491162981,True
af2_plddt,chemical_impact_score,-0.07408239265070243,True
delta_polarity_flag,high_severity_label,-0.06928400622634823,True
delta_charge,mutation_severity_score,0.06685196988347927,True
delta_hydropathy,structural_sensitivity_score,-0.062025943841165415,True
af2_is_buried_proxy,chemical_impact_score,0.0575095317182839,True
grantham,structural_sensitivity_score,0.049881280764751096,True
delta_volume,evolutionary_importance_score,0.04501604583389888,True
conservation_wt_freq,destabilization_proxy_score,-0.04498365626810856,True
position_entropy,destabilization_proxy_score,0.044768734924096915,True
af2_neighbor_count_8A,chemical_impact_score,-0.04387586495546241,True
delta_charge,evolutionary_importance_score,-0.04350626313650858,True
conservation_wt_freq,destabilizing_label,-0.04285306274873487,True
position_entropy,destabilizing_label,0.04260594252460088,True
delta_hydropathy,destabilizing_label,0.042243933351232395,True
blosum62,evolutionary_importance_score,-0.04185549849853354,True
delta_polarity_flag,mutation_severity_score,-0.03409275013467816,True
delta_charge,destabilizing_label,0.026582383939017015,True
delta_charge,chemical_impact_score,0.023917537289911868,True
delta_volume,destabilization_proxy_score,0.023879370336430273,True
delta_volume,mutation_severity_score,-0.019916073174425505,True
delta_volume,destabilizing_label,-0.016231845793622576,True
delta_charge,high_severity_label,0.012427952727065813,True
delta_hydropathy,mutation_severity_score,-0.0111050067718478,True
conservation_wt_freq,chemical_impact_score,0.010619970140844424,True
position_entropy,chemical_impact_score,-0.010568129254131113,True
delta_hydropathy,chemical_impact_score,-0.00825206931644,True
blosum62,structural_sensitivity_score,0.006697896064071934,True
grantham,evolutionary_importance_score,0.003095429015498208,True
delta_polarity_flag,evolutionary_importance_score,0.0020749407417455443,True
delta_hydropathy,destabilization_proxy_score,0.00040726057254720073,True
delta_hydropathy,high_severity_label,0.00026342348133511314,True
